customer_id,email,first_name,last_name,age,gender,city,country,registration_date
f3f0d8a0-3e2f-43df-aeb4-19345c31a2f2,johnsonjoshua@example.org,Donald,Garcia,58,M,New Roberttown,Bermuda,2023-12-05T23:07:24
8edf6dee-effa-48ce-b0d1-7589a9b27785,williamjohnson@example.org,Jennifer,Miles,19,Other,Robinsonshire,Fiji,2025-03-08T20:17:36
e0befeb4-220c-47bc-aef5-a031308695c2,blakeerik@example.com,Matthew,Moore,35,M,Curtisfurt,Bhutan,2024-03-23T23:16:36
c1ceed65-ad6c-479a-b6ff-9244b956bfe0,cassandra07@example.net,David,Nielsen,32,M,New Kellystad,Morocco,2023-11-15T11:56:06
f7ae55b6-94f9-4fb1-b486-2afabbe23531,williamsjeremy@example.com,Tracie,Wyatt,65,M,South Joshuastad,Central African Republic,2024-04-01T16:05:22
db072093-c44a-46c6-8ccb-005fc3b93d18,jason41@example.net,Cynthia,Ferguson,61,Other,East Steven,Faroe Islands,2025-06-06T21:57:28
ade9c676-f0b2-42f0-9258-397f3fde542f,gabriellecameron@example.org,Jeremy,Johnson,75,Other,Richardland,Croatia,2025-05-28T09:30:25
a91d1fdf-4257-458d-9a53-bd1829db35ea,jason76@example.net,Stephen,Baker,23,Other,Lake Anna,Estonia,2025-01-19T08:45:46
31b2bca4-b92d-4a6a-be09-4651be270310,zhurst@example.com,Jeffrey,Bright,45,M,Daviston,Tokelau,2023-09-12T07:25:26
f2b0bcab-5259-4130-aff6-1562ed456864,courtneyconner@example.com,Candace,Cruz,19,M,Riceside,Tokelau,2023-06-28T01:26:16
f5b2bd89-360b-4f6f-9355-0afa507c24a5,maldonadoamanda@example.com,Kayla,Peterson,31,M,Ryanmouth,Afghanistan,2024-12-31T00:11:15
8de3fbda-16db-458b-a728-a9f1099058e9,teresa28@example.org,Monica,Evans,50,Other,East Nathaniel,Central African Republic,2024-08-11T02:10:11
dbeccb8a-4bfa-4181-9445-97b0f13afedb,georgetracy@example.org,Sarah,Koch,19,Other,Johnbury,Turkey,2024-09-01T19:42:57
47a6a6da-a671-4710-be4f-08fa98eb3540,millertodd@example.org,Tiffany,Patel,30,Other,East Donna,Yemen,2024-08-19T04:29:52
24449b1c-8e86-4737-8b1f-0cd6fc42cfd5,josephbrennan@example.com,Tamara,Hickman,59,Other,Lake Larry,Paraguay,2024-11-04T22:01:16
d5c2dd1f-f38a-490b-8100-2eaf14bfe5f1,samuel87@example.org,John,Brown,52,F,New Angelashire,Cyprus,2023-06-24T17:27:47
5cef4cd8-5b69-4631-b397-d9e993782f1f,zimmermanbrian@example.org,Rebecca,Heath,32,F,New Johnfort,Croatia,2024-08-10T23:27:54
9889cd04-1f1e-4258-a3fc-b2a30dfb27f6,jenniferkhan@example.net,Thomas,Mueller,55,F,Leeville,Palestinian Territory,2024-05-18T22:47:33
3dd2f8e1-87f5-4865-b1ce-6e3a95914368,rodney70@example.net,Denise,Lucas,69,M,South Jessicaville,Egypt,2023-11-14T22:54:50
6930c38c-da6a-4c80-9540-d1f919287d51,amandataylor@example.org,Joshua,Wright,66,M,South Lindseyside,Bolivia,2023-07-28T10:27:03
0b8231a5-2541-482b-9937-cf863f36c40e,novaksara@example.org,Gabriel,Tucker,62,F,Port Richard,Bahamas,2023-10-25T00:28:28
